,0,ID,Mileage,Age,Drive-City,Drive-Highway,Drive-Rural,First New,Gender,Income,Education,Conquest,Consumer Reports,Knowledgeable,Fuel Grade,Grade,Marital Status_Divorced/Widowed/Separated,Marital Status_Living With Sig Oth/Dom Prtnr,Marital Status_Married,Marital Status_Single/Not Married
103,4,45610,2,63,0,0,1,0,0,3,3,0,0,0,1,2,0.0,0.0,1.0,0.0
104,5,33043,2,50,0,0,1,0,0,3,6,0,0,0,2,3,0.0,0.0,1.0,0.0
105,3,60134,2,24,1,1,0,1,1,2,1,1,0,0,1,3,0.0,0.0,1.0,0.0
106,7,35216,1,34,1,1,0,0,1,5,3,0,0,0,1,3,0.0,0.0,0.0,1.0
107,6,25094,2,68,0,1,0,0,1,2,2,0,0,0,1,3,1.0,0.0,0.0,0.0
108,3,13075,1,24,1,1,0,1,1,4,3,1,0,0,1,3,0.0,1.0,0.0,0.0
109,2,14507,1,75,1,0,0,0,0,5,3,1,0,0,1,3,0.0,0.0,1.0,0.0
110,4,30694,2,60,0,1,1,0,1,3,5,1,0,0,2,2,0.0,0.0,1.0,0.0
111,0,10629,2,56,1,1,0,0,1,4,3,0,0,0,1,2,0.0,0.0,1.0,0.0
112,7,24905,2,37,1,0,0,0,1,4,4,0,0,0,1,2,0.0,0.0,1.0,0.0
113,4,37337,1,62,0,0,1,0,1,2,2,0,0,0,1,3,0.0,0.0,0.0,1.0
114,3,21785,2,26,1,1,0,1,0,2,2,1,0,0,1,1,0.0,0.0,1.0,0.0
115,5,24089,2,51,1,1,0,0,1,4,6,0,1,0,2,3,0.0,0.0,1.0,0.0
116,7,48351,2,33,1,0,0,0,0,4,3,1,0,0,1,2,0.0,1.0,0.0,0.0
117,5,56392,1,52,1,0,0,0,1,2,1,0,0,0,2,1,0.0,0.0,0.0,1.0
118,6,41289,2,72,0,1,0,0,0,4,5,1,0,0,1,1,0.0,0.0,1.0,0.0
119,5,50026,2,48,1,1,0,1,0,4,5,0,1,0,1,2,0.0,0.0,1.0,0.0
120,7,60387,2,33,0,1,1,0,1,5,5,1,0,0,1,2,0.0,0.0,1.0,0.0
121,4,49937,2,63,0,1,0,0,1,5,5,0,0,0,1,1,0.0,0.0,1.0,0.0
122,1,33712,2,45,0,1,0,0,0,5,3,0,0,0,1,2,0.0,0.0,0.0,1.0
123,5,42513,3,49,1,0,0,0,1,3,3,1,0,0,1,3,0.0,0.0,1.0,0.0
124,1,23334,2,39,1,0,0,0,1,4,6,1,0,0,2,3,0.0,1.0,0.0,0.0
125,7,13775,1,37,0,0,1,0,0,2,3,1,0,0,1,2,0.0,0.0,1.0,0.0
126,7,20267,3,34,1,1,0,0,1,5,5,0,0,0,2,3,0.0,0.0,1.0,0.0
127,2,14348,1,74,1,0,0,0,0,3,2,1,1,0,1,1,0.0,0.0,1.0,0.0
128,0,42191,3,57,1,0,0,0,1,3,2,1,0,0,1,3,0.0,0.0,1.0,0.0
129,7,50791,2,30,1,1,0,0,0,5,5,1,0,0,1,3,0.0,0.0,1.0,0.0
130,4,48620,2,61,0,1,0,0,1,4,5,0,0,0,1,3,1.0,0.0,0.0,0.0
131,6,49269,2,67,1,1,0,1,0,2,2,1,0,0,1,2,0.0,0.0,1.0,0.0
132,0,8713,2,57,1,0,0,0,1,5,4,0,0,0,1,2,0.0,0.0,1.0,0.0
133,4,48008,2,65,0,1,0,0,0,4,4,1,0,0,1,2,0.0,0.0,1.0,0.0
134,4,460,3,61,0,0,1,0,0,3,4,1,0,0,1,2,0.0,0.0,1.0,0.0
135,4,39737,1,65,1,0,0,0,0,2,3,1,0,0,1,2,0.0,0.0,1.0,0.0
136,4,8658,2,60,1,0,0,0,1,2,2,1,0,0,1,1,0.0,0.0,0.0,1.0
137,5,37481,1,49,1,0,0,0,1,3,2,1,0,0,1,1,0.0,0.0,0.0,1.0
138,7,18270,2,31,1,0,0,1,1,3,2,1,0,0,2,1,0.0,0.0,1.0,0.0
139,0,51452,2,57,0,1,0,0,1,4,5,1,0,0,1,2,0.0,0.0,1.0,0.0
140,5,33058,2,53,1,1,0,0,0,3,3,1,0,0,1,1,0.0,0.0,1.0,0.0
141,6,427,3,68,0,1,0,0,1,4,3,1,0,0,1,2,0.0,0.0,1.0,0.0
142,7,9876,2,34,1,1,0,0,0,4,4,0,0,0,1,3,0.0,0.0,0.0,1.0
143,6,50075,2,66,1,0,0,0,0,3,2,0,0,0,1,3,0.0,0.0,1.0,0.0
144,1,34286,2,43,1,0,0,0,1,5,5,1,0,0,1,1,1.0,0.0,0.0,0.0
145,0,29079,2,54,0,1,0,1,1,3,2,1,0,0,3,1,1.0,0.0,0.0,0.0
146,4,18327,2,65,1,0,1,0,0,2,2,0,0,0,1,2,0.0,0.0,1.0,0.0
147,7,30,3,31,1,1,0,0,0,4,3,0,0,0,1,1,0.0,0.0,1.0,0.0
148,5,5526,2,52,0,1,0,0,1,3,5,0,0,0,1,3,0.0,0.0,1.0,0.0
149,7,32155,2,37,1,0,0,0,0,3,5,0,0,0,2,1,0.0,0.0,0.0,1.0
150,2,34962,1,77,1,0,0,0,0,4,3,1,0,0,1,2,1.0,0.0,0.0,0.0
151,4,22649,2,64,0,0,1,0,1,4,3,0,0,0,3,3,0.0,0.0,1.0,0.0
