,ID,0
171,26337794,0
172,26342949,2
173,2634346S,8
174,2634885M,0
175,2657474B,0
176,2658373G,0
177,2456374B,3
178,2456589M,0
179,2456693P,4
180,24569A7Z,0
181,2456A74H,3
182,24484476,1
183,24572A2N,1
184,23A5893E,6
185,268266AS,3
186,26768267,8
187,267B329C,2
188,26856B3M,2
189,2686837M,4
190,2686BB6F,2
191,26B773A3,0
192,26B82A85,1
193,26B8A7A3,0
194,239A83AJ,5
195,24234872,8
196,24235B7X,5
197,24238283,5
198,2336635K,0
199,2336846S,7
200,235345A5,8
201,23745A9C,8
202,27B8248H,1
203,27A43A6F,8
204,27A4B6A5,8
205,27A6382H,1
206,27A6A38D,1
207,27B5942N,3
208,239A8549,4
209,23A5943V,0
210,23AA576B,1
211,2423874F,6
212,2437346N,3
213,24373987,0
214,24377343,2
215,2438A93M,0
216,2328B66H,0
217,2456AA5G,5
218,2456B5AQ,1
219,2553427T,3
220,2554B98H,3
221,25757425,0
222,25759487,8
223,2294B2B6,0
224,25978B6D,2
225,2598296H,0
226,2633527P,8
227,26343552,4
228,2634465A,0
229,2634982H,4
230,26354772,8
231,26577A7V,3
232,2658A8BV,0
233,2676548B,2
234,267B428F,3
235,26823643,8
236,268256AU,0
237,2685448S,2
238,26B74BBP,5
239,22627B6H,0
240,26BA676L,5
241,27A46B3G,1
242,27A4832W,3
243,27A69463,1
244,27A6A72D,1
245,27B499BP,3
246,27B5489C,0
247,27B7A35T,4
248,27B8359R,1
249,27B8A89T,4
250,2263278B,0
251,2492245C,1
252,2492499T,2
253,2264856F,8
254,2264BB9R,3
255,2492B83C,2
256,24236ABE,0
257,242326BE,3
258,242367AF,8
259,2265683R,3
260,2265689X,1
261,24922A67,0
262,2492345A,0
263,22636A2J,8
264,2265567C,2
265,2262728U,1
266,2262948B,3
267,2462439P,3
268,2575379G,0
269,2575974Y,0
270,25868A6J,5
271,2353676S,1
272,237B23A3,2
273,238284BK,5
274,24627A9M,1
275,2657387G,0
276,268288BA,8
277,2685534B,2
278,2685726Y,2
279,22657ABA,5
280,226599BT,5
281,27A6529T,1
282,27A6853C,7
283,27B6985C,0
284,252A33AD,5
285,24B4592F,4
286,24B46834,3
287,24B49BAS,5
288,24B523A7,2
289,24B532AU,5
290,2322358N,1
291,232274AW,3
292,2322957A,8
293,2323B42Q,0
294,2323BB7Z,4
295,2527BB92,2
296,2328B32H,0
297,24239643,4
298,2266A75A,0
299,2266AA8B,1
300,25A93A98,8
301,2424A696,1
302,25B4A5AN,8
303,25B63ABV,2
304,25B9864N,4
305,24B4693E,0
306,24B4896D,5
307,24B4969C,0
308,24B499B6,0
309,24B52ABC,3
310,24B532BV,5
311,2472665G,0
312,2287335K,0
313,22638A9M,4
314,226598AH,8
315,24733B3C,8
316,2437348Q,4
317,2472733G,8
318,23372B8Q,4
319,228786AB,5
320,25B452AH,2
321,23735434,3
322,237437AF,7
323,237A986W,2
324,2539648J,3
325,2539789P,4
326,25397BBE,3
327,239A994D,8
328,23AA842U,0
329,2423242U,3
330,2423622B,8
331,25B45798,0
332,252687AQ,8
333,25269547,0
334,2337A44L,0
335,2337A86U,8
336,2527484S,3
337,2528865E,3
338,2527945C,3
339,2527965X,2
340,2527A76S,0
341,2528234U,4
342,23B526BX,3
343,23B527A7,2
344,23B52A9E,1
345,23B5348H,0
346,23B5483G,0
347,23B5494S,0
348,23B5536B,5
349,23B5564U,5
350,23B55AAY,0
351,23B56447,1
352,23B5663R,2
353,23B56A63,2
354,23B57A3X,3
355,23B57A5Z,2
356,23B58772,6
357,23226476,3
358,23226A6Y,4
359,2323238J,0
360,25A933AU,1
