ID,Mileage,Age,Drive-City,Drive-Highway,Drive-Rural,First New,Gender,Income,Education,Marital Status,Conquest,Consumer Reports,Knowledgeable,Fuel Grade,Grade
295,3,45,0,1,0,0,0,2,3,Married,0,0,0,2,2
296,3,63,0,1,0,0,0,4,9,Married,1,0,0,1,3
297,3,57,0,1,1,0,0,5,7,Single/Not Married,1,0,0,1,3
298,3,56,1,0,0,0,1,4,4,Married,0,0,0,3,2
299,3,40,1,1,0,0,1,5,5,Single/Not Married,1,0,0,1,3
300,3,62,1,1,0,0,1,4,4,Married,0,0,0,1,3
301,3,25,1,1,0,0,0,4,4,Married,0,0,0,2,1
302,3,78,1,1,0,0,1,5,3,Married,1,1,0,1,2
303,3,52,1,0,0,0,1,2,4,Married,0,0,1,1,3
304,3,39,1,1,1,0,1,5,2,Divorced/Widowed/Separated,0,0,1,1,2
305,3,57,0,1,0,0,1,3,2,Married,1,0,0,1,3
306,3,50,0,0,1,0,1,4,3,Divorced/Widowed/Separated,0,0,0,1,2
307,3,68,1,1,0,0,0,4,3,Married,0,0,0,1,1
308,3,21,1,0,0,1,1,3,1,Single/Not Married,1,0,0,1,1
309,3,32,0,1,0,0,1,4,3,Single/Not Married,0,0,0,1,2
310,3,48,1,0,0,0,1,4,6,Divorced/Widowed/Separated,1,0,0,2,3
311,3,78,1,0,0,0,0,3,3,Married,1,0,0,1,3
312,3,63,0,0,1,0,0,4,5,Married,0,0,0,1,2
313,3,79,1,0,0,0,0,3,3,Married,1,0,0,1,2
314,3,58,1,1,0,0,0,3,3,Living With Sig Oth/Dom Prtnr,1,0,0,1,2
315,3,39,0,1,0,0,1,4,3,Single/Not Married,0,0,0,1,3
316,3,41,1,0,0,1,0,5,4,Married,1,0,0,1,3
317,3,53,0,1,0,1,0,3,1,Single/Not Married,0,0,0,1,1
318,3,82,0,1,0,0,0,5,2,Divorced/Widowed/Separated,0,0,0,1,1
319,3,56,0,1,0,0,1,4,3,Married,0,0,0,1,2
320,3,44,1,1,0,0,1,5,3,Married,0,0,1,1,3
321,3,47,1,1,1,0,1,4,5,Married,0,0,0,1,3
322,3,72,1,0,0,0,0,4,2,Married,0,0,1,1,1
323,3,35,0,1,0,1,0,3,2,Married,0,0,1,1,2
324,3,69,1,1,0,0,1,5,3,Married,0,1,0,1,3
325,3,60,0,0,1,0,1,2,2,Married,0,0,0,1,2
326,3,68,0,0,1,0,0,5,4,Married,0,0,0,1,2
327,3,46,0,0,1,0,1,5,6,Married,1,1,0,2,3
328,3,65,1,0,0,0,1,3,2,Married,1,0,0,1,2
329,3,53,1,1,0,0,0,2,4,Single/Not Married,1,0,0,3,3
330,3,43,1,0,0,1,0,2,2,Single/Not Married,0,0,1,1,3
331,3,77,1,1,1,0,0,2,1,Married,0,0,0,1,2
332,3,64,0,1,1,0,1,4,5,Divorced/Widowed/Separated,0,0,0,1,1
333,3,35,1,0,0,0,0,3,3,Single/Not Married,1,0,0,3,3
334,3,51,0,1,0,0,0,4,3,Living With Sig Oth/Dom Prtnr,1,0,0,1,2
335,3,48,1,0,0,0,1,3,1,Single/Not Married,0,0,0,1,1
336,3,54,1,1,0,0,0,3,4,Married,0,0,0,1,1
337,3,56,0,1,0,0,0,4,6,Married,0,0,0,1,2
338,3,34,0,1,0,1,0,4,3,Single/Not Married,0,0,1,3,1
339,3,80,1,0,0,0,0,3,3,Married,0,0,0,3,3
340,3,40,0,1,0,0,0,3,5,Married,1,0,0,2,3
341,3,39,1,1,1,0,0,3,3,Married,0,0,0,1,2
342,3,64,1,0,0,0,0,2,4,Single/Not Married,0,0,0,1,2
343,3,54,1,0,0,0,1,4,5,Married,0,0,0,1,3
344,3,55,0,1,0,0,0,5,9,Married,0,0,0,1,3
345,3,21,1,1,1,1,0,2,2,Married,1,0,0,1,1
346,3,44,0,1,0,0,0,4,2,Divorced/Widowed/Separated,0,0,0,1,1
347,3,34,0,1,0,0,0,4,3,Married,0,0,1,1,3
348,3,35,1,1,0,0,1,2,2,Single/Not Married,0,0,0,1,2
349,3,48,0,1,0,0,0,5,3,Single/Not Married,1,0,0,1,3
350,3,50,0,1,0,0,0,3,5,Divorced/Widowed/Separated,1,0,0,1,2
351,3,46,1,1,0,1,1,3,1,Divorced/Widowed/Separated,1,0,0,1,1
352,3,58,1,1,0,0,0,3,3,Married,1,0,0,1,2
353,3,47,0,1,0,0,1,5,5,Divorced/Widowed/Separated,0,0,0,1,1
354,3,74,0,0,1,1,1,3,3,Married,0,0,0,2,3
355,3,61,0,1,0,0,0,5,6,Married,0,0,0,1,2
356,3,55,0,1,0,0,0,3,4,Divorced/Widowed/Separated,1,0,0,1,2
357,3,39,0,1,0,0,1,4,4,Married,0,0,0,1,2
358,3,33,1,0,0,0,1,3,2,Married,0,0,0,1,1
359,3,49,0,1,1,0,0,4,5,Single/Not Married,1,1,1,1,3
360,3,49,0,1,0,0,0,4,5,Married,0,0,0,2,2
361,3,58,0,1,0,0,1,4,1,Divorced/Widowed/Separated,1,0,0,1,1
362,3,46,1,1,1,1,0,2,3,Married,0,0,1,1,2
363,3,29,1,0,0,1,1,5,3,Married,1,0,0,1,2
364,3,42,0,0,1,0,0,5,2,Single/Not Married,0,0,0,1,2
365,3,46,1,1,0,0,0,5,6,Married,0,0,0,1,1
366,3,67,0,0,1,0,1,3,2,Single/Not Married,0,0,0,2,3
367,3,31,1,1,0,0,1,3,1,Single/Not Married,0,0,0,2,2
368,3,46,0,1,0,0,1,3,5,Married,1,0,0,1,1
369,3,47,0,1,0,0,0,4,4,Married,1,0,0,1,1
370,3,68,1,1,1,0,1,5,2,Divorced/Widowed/Separated,0,0,0,1,2
371,3,65,0,0,1,0,0,4,3,Married,0,0,0,1,3
372,3,48,0,1,0,0,1,3,6,Married,0,0,0,3,3
373,3,67,0,1,0,0,1,3,3,Married,0,0,0,1,2
374,3,17,0,1,0,1,1,3,2,Married,1,0,0,1,2
375,3,53,0,1,0,0,0,5,6,Married,1,0,1,2,2
376,3,52,1,1,0,0,1,3,2,Married,0,0,1,1,1
