,ID,0
132,24598343,1
133,2459977A,1
134,23A698AD,1
135,2678342S,5
136,26873B6Q,5
137,2687732Y,6
138,26A2923K,1
139,26B4347K,3
140,26B96B3G,1
141,246AB97R,4
142,2339BBAD,5
143,27A542A7,3
144,243A554W,0
145,2438259C,1
146,2439AA6H,4
147,243A7B6N,6
148,243A875C,1
149,24758ABP,8
150,2476AB2W,3
151,2476B269,4
152,2444253T,6
153,2444353R,5
154,24444B7M,1
155,2444B4BC,0
156,2444B8BP,1
157,22858969,3
158,2326A25C,5
159,245A5B4Y,4
160,2549738B,4
161,25498674,0
162,255A2B4B,1
163,25748892,5
164,2586978L,1
165,2586986U,7
166,2594AB6L,2
167,262A268Q,7
168,246A27AW,6
169,26389A4U,1
170,2639BA9V,3
171,26844767,1
172,2684A643,1
173,2684B87P,1
174,26B5BB67,5
175,26B9274H,1
176,26B936B2,1
177,26B9992L,6
178,27A575AW,3
179,27A577AH,6
180,2263355A,7
181,226335B6,7
182,2476439G,6
183,24599A78,0
184,245984BA,1
185,245A4887,1
186,2476B64D,3
187,2459986J,2
188,245A3A9X,0
189,226559AB,1
190,22629787,0
191,2463689G,0
192,245A66A9,1
193,245AB87C,6
194,2463974U,2
195,2549752Q,4
196,255A367T,6
197,255A544B,1
198,2574885X,5
199,257494AJ,3
200,25873A7A,1
201,259442BC,2
202,259455BC,6
203,259B865C,4
204,259B9BAN,3
205,2375A53C,5
206,2463497T,7
207,24635B5C,5
208,24638847,6
209,2463888B,4
210,26385778,6
211,2639AA3R,6
212,24B3B37M,3
213,26A25A6B,5
214,27A5778Q,4
215,23256B8J,5
216,23258787,2
217,2325987E,7
218,23262483,1
219,232932AF,4
220,246AB37Z,5
221,226689A9,2
222,25BA559Z,3
223,24B28A5V,2
224,24B3265E,4
225,24B3A558,1
226,24B3A73R,8
227,22859627,2
228,246358BA,3
229,246ABBA7,3
230,2285677T,5
231,22859AAD,7
232,2339324N,5
233,233955AB,6
234,2476367C,3
235,2476B75P,7
236,2374825T,2
237,2374982F,1
238,237A39BE,3
239,237AB25K,5
240,237AB35V,4
241,237ABB8D,2
242,23B2A28U,2
243,23B2A92Q,3
244,23B2AB4F,1
245,23B2B66W,0
246,23B2B734,7
247,23B2B9BM,5
248,239484BC,7
249,2339248F,4
250,233928BE,6
251,23393427,8
252,23393723,0
253,2339383E,6
254,2339398U,6
255,233944A3,6
256,2339488H,4
257,2339496Q,3
258,23394B6D,1
259,233956BM,5
260,23395A6B,5
261,23396476,6
262,2339668S,3
263,233967AU,8
264,2339735R,2
265,2339756D,6
266,2339A685,3
267,2339A729,6
268,2339B42B,5
269,2339B6AU,5
270,2339B7B6,0
271,2339BB5C,4
272,237A224H,5
273,237A235T,1
274,237A242B,5
275,237A24AY,4
276,237A252B,2
277,237A264N,0
278,237A266Q,5
279,237A26BK,2
280,237A2A2U,5
281,237A2A6Y,3
282,237A2B9C,2
283,237A365M,5
284,237A387A,3
285,237A3B9A,1
286,2325575A,1
287,25B545AU,5
288,25B7224B,0
289,25B7527X,4
290,25B7578F,3
291,25BA5656,1
292,237AA35X,2
293,237AA4A3,8
294,237AA62Q,6
295,237AA89C,5
296,237AB58J,2
297,237AB63P,5
298,237AB84B,2
299,237AB97P,5
300,237B722J,1
301,237B728Q,6
302,237B729R,0
303,237B7447,6
304,23B7333V,5
305,23B7449A,2
306,23B749AH,5
307,23B74B38,0
308,23B7535T,2
309,23B754BZ,0
310,23B7585A,1
311,23B7586B,6
312,23B758B6,3
313,23B7629K,6
314,23B769AD,5
315,23B7737R,7
316,23B7774U,1
317,23B785B4,6
318,23B786BE,5
319,23B78A8U,1
320,23B78B85,1
321,252A9652,5
322,252A482U,5
323,252A549T,0
324,252A5923,7
325,252A622Y,1
326,252A6B9V,4
327,252A948J,6
328,237B793M,5
329,237B825K,4
330,237B9432,4
331,2395A46J,2
332,243A87A7,0
333,243AB79V,0
334,252A5254,5
335,252A5627,5
336,2459752N,5
337,245A7A4J,1
338,24639527,2
339,2464AB96,6
340,2339B694,0
341,2443949V,3
342,2444239E,1
343,2444564Y,5
344,2299848L,3
345,2299873C,5
346,22998B7P,3
347,22999B7M,5
348,23BB978D,3
349,23BB993T,8
350,23BB9B8L,5
351,245A359E,5
352,245A398J,7
353,245A569K,0
354,24638A5V,0
355,246A2A6B,2
356,246A456D,4
357,24758B98,5
358,2476287Z,3
359,24762892,5
360,237A29AF,3
361,2438829A,0
362,2475979X,5
363,23A7357G,2
364,23A7B469,0
365,23B22A74,2
366,2459926S,2
367,245A58AW,5
368,24763243,3
369,25B7B54Y,1
370,23B738A9,4
371,23B749BC,2
372,23B752AD,4
373,23B763BM,7
374,23B77A3R,7
375,23B77B87,4
376,237AB456,5
377,22858574,3
378,2444443E,6
379,24B2865M,0
380,24B28B67,5
381,24B2968N,7
382,24389A6J,7
383,243A5B4Q,4
384,2444B669,1
385,2459653R,8
386,245A5BBV,6
387,25BA5645,0
388,23A6898Y,1
389,23AA5A2U,1
390,23B76825,7
391,24B3239M,8
392,24B34A6J,1
393,24B34A7K,2
394,24B3A2B8,6
395,24B3B556,1
396,2463622H,2
397,2463967M,1
398,246A535P,5
399,246A592D,5
400,246AB469,1
401,247593AH,1
402,247635BV,1
403,2476452U,4
404,24764BBM,3
405,23A69769,1
406,23A7225K,0
407,23A7327K,6
408,23A7B787,5
409,23AAAA7A,7
410,23B235BC,1
411,252BA46F,1
412,2463458N,5
413,24636423,2
414,25B5353Z,3
415,25B5578L,5
416,2476A852,1
417,23393A98,4
418,23393B8H,5
419,2459988L,4
420,23394B8F,6
421,2339523C,5
422,2339552D,5
423,2339565R,6
424,24B283BM,4
425,252A437C,5
426,252A52BZ,6
427,252A6943,2
428,252A742H,1
429,252A774F,6
430,252A99BT,5
431,2326B32N,6
432,2326B452,4
433,24B2928H,3
434,24B3282W,1
435,24B32B4W,0
436,24B3388B,7
437,2372A474,4
438,2372B65K,0
439,2375A96S,0
440,2375B53G,7
441,24383529,3
442,24389572,0
443,23294AAS,2
444,2329A6AS,7
445,23B7538W,1
446,23B76869,1
447,23BB977C,2
448,23BB9B6J,6
449,246A233T,1
450,243A249X,7
451,243A58AN,1
452,243A672D,2
453,243A757V,7
454,2444B75C,7
455,25B5372J,1
456,25B5378Q,5
457,25B53892,2
458,25B734AF,0
459,25B75B6L,5
460,25B76A36,1
461,25B55252,1
462,2372259C,3
463,2372AB67,3
464,2374896W,1
465,25BA5B4N,2
466,25B5589X,1
467,2374796Y,0
468,2375A97T,7
469,2375B8BA,1
470,237A2849,0
471,237A3463,0
472,237A3A9Z,2
473,237A3B23,4
474,237AB36W,6
475,23A6783K,5
