ID,Year,Make,MakeSeries,Segment,4Region,9Region,Cluster,YNV_GLB_16,Not Consider Other Makes,Not Consider Other Segments,OVC_US_2C1_1,OVC_US_2C1_2,OVC_US_2C1_3,OVC_US_2C1_4,OVC_US_2C1_5,OVC_US_2C1_6,OVC_US_2C1_7,OVC_US_2C1_8,OVC_US_2C1_9,OVC_US_2C1_10,OVC_US_2C1_11,OVC_US_2C1_12,OVC_US_2C1_13,OVC_US_2C1_14,OVC_US_2C1_15,OVC_US_2C1_16,OVC_US_2C1_17,OVC_US_2C1_18,OVC_US_2C1_19,OVC_US_2C1_20,Cus_BrandExp,Advertising,Audio,Bluetooth,Camera,Comfort,Dealer,Disappointed,DQR,Economy,Engine,Exterior,Features,Handling,Heated Seats / Strg,Interior,Maintenance,Navigation,Performance,Price,Quietness,Ride,Roominess,Safety,Seats,Styling,Transmission,Trunk,Wheel,Had Exterior Problem,Had DEXP Problem,Had FCD Problem,Had AEN Problem,Had Seat Problem,Had HVAC Problem,Had INT Problem,Had ENG Problem,Had Problem,Had Severe Problem,Had Very Severe Problem,Taken to Dealer,Problem Fixed,APEAL_Index,EXT_Index,INT_Index,SS_Index,AEN_Index,Seats_Index,HVAC_Index,DD_Index,ENGTRN_Index,VDS_Index,FUEL_Index,APEAL_OSAT
B3493987,2014,Volkswagen,Volkswagen Jetta,Compact Car,Midwest,East North Central,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0.934922133,1,1,0.936525217,0.87363977,1,1,0.888888889,1,1,0.828555556,0.777777778
B3493A5G,2014,Volkswagen,Volkswagen Jetta,Compact Car,Northeast,Middle Atlantic,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0.999960772,1,1,0.999777827,0.999905902,1,1,1,1,1,1,1
B3493B9V,2014,Volkswagen,Volkswagen Jetta,Compact Car,South,South Atlantic,6,2,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.419035035,0.545453535,0.569756976,0.581255054,0.411019756,0.663696036,0.433643809,0.540479285,0.315168483,0.525936295,0.777777778,0.333333333
B349457X,2014,Volkswagen,Volkswagen Golf,Compact Car,South,South Atlantic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999974674,1,1,0.999777827,1,1,1,1,1,1,1,1
B3494623,2014,Volkswagen,Volkswagen Golf,Compact Car,Northeast,Middle Atlantic,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.886117517,1,0.959818204,0.760397689,0.808548028,0.964728806,0.957006812,0.97156951,0.888477819,0.933451099,0.879333333,1
B349474F,2014,Volkswagen,Volkswagen Jetta,Compact Car,Midwest,West North Central,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94770823,0.963381565,1,0.759386803,0.881088415,1,1,0.98898999,1,1,1,1
B3494A5E,2014,Volkswagen,Volkswagen Jetta,Compact Car,South,West South Central,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0.641676147,0.840445867,0.819426387,0.533525883,0.857389442,0.691281239,0.44852263,0.748680687,0.769056428,0.630303636,0.615888889,0.777777778
B3494B7R,2014,Volkswagen,Volkswagen Jetta,Compact Car,West,Pacific,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97155591,1,1,0.999777827,0.956209338,0.968075252,1,0.98492373,1,1,0.888888889,1
B349523V,2014,Volkswagen,Volkswagen Jetta,Compact Car,Northeast,Middle Atlantic,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.579977798,0.706130115,0.777777778,0.593601422,0.599690776,0.575070952,0.453000856,0.677687787,0.769056428,0.700518837,0.666666667,0.888888889
B3495347,2014,Volkswagen,Volkswagen Jetta,Compact Car,Northeast,Middle Atlantic,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975403549,1,1,0.999777827,0.888862238,1,0.904079297,1,1,1,1,1
